图片,问题
https://i.postimg.cc/Gt4JydTN/1.png,请找出第二大的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/pr3QQ4Dd/2.png,请找出第二小的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/HWNtCcfC/3.png,请找出第三大的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/zXRFDDrH/4.png,请找出第二大的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/3x5CkM8S/5.png,请找出第二小的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/vmGrvW65/6.png,请找出第二小的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/nzzqyp2z/7.png,请找出第三小的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/cJTQkrQ2/8.png,请找出第三小的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/B6V2sk7C/9.png,请找出第二大的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/NF2m0DWv/10.png,请找出第三大的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/mhxM1Msz/11.png,请找出第二小的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/CMRQDg0S/12.png,请找出第二大的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/L4G03b4f/13.png,请找出第二大的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/28v9c73t/14.png,请找出第三大的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/x12xWNz1/15.png,请找出第二大的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/jS4gKqHQ/16.png,请找出第三大的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/g0cM0949/17.png,请找出第三小的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/zfdxbdPy/18.png,请找出第二小的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/1tfJppLJ/19.png,请找出第三小的物体，并描述序号-颜色-形状，只有一个正确答案
https://i.postimg.cc/vBkXX4yM/20.png,请找出第三大的物体，并描述序号-颜色-形状，只有一个正确答案
